prompt_id,prompt_number,generation_prompt,category,disease_primary,age,sex,severity,label_pneumonia_or_opacity,label_cardiomegaly,label_pleural_effusion,label_pneumothorax,label_edema,label_atelectasis,label_support_device,label_chronic_lung_disease,model_key,generator_name,folder,model_version_or_identifier,generated_image_id,image_relpath,image_path,image_exists
P003,3,34-year-old female. PA frontal chest radiograph. Findings: No acute cardiopulmonary abnormality. Cardiomediastinal silhouette is within normal size limits. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,34,female,,0,0,0,0,0,0,0,0,roentgen,RoentGen-v2,roentgen,RoentGen-v2,P003_roentgen,roentgen/P003.png,roentgen/P003.png,False
P004,4,37-year-old male. PA frontal chest radiograph. Findings: No focal consolidation. No pulmonary edema. No pleural effusion or pneumothorax. Normal heart size. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,37,male,,0,0,0,0,0,0,0,0,gemini,Nano Banana,gemini,gemini-2.5-flash-image / Nano Banana,P004_gemini,gemini/P004.png,gemini/P004.png,False
P004,4,37-year-old male. PA frontal chest radiograph. Findings: No focal consolidation. No pulmonary edema. No pleural effusion or pneumothorax. Normal heart size. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,37,male,,0,0,0,0,0,0,0,0,sana,Sana,sana,CheXGenBench Sana CXR generator,P004_sana,sana/P004.png,sana/P004.png,False
P004,4,37-year-old male. PA frontal chest radiograph. Findings: No focal consolidation. No pulmonary edema. No pleural effusion or pneumothorax. Normal heart size. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,37,male,,0,0,0,0,0,0,0,0,gpt,ChatGPT Images 2.0,gpt,ChatGPT Images 2.0,P004_gpt,gpt/P004.png,gpt/P004.png,False
P004,4,37-year-old male. PA frontal chest radiograph. Findings: No focal consolidation. No pulmonary edema. No pleural effusion or pneumothorax. Normal heart size. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,37,male,,0,0,0,0,0,0,0,0,roentgen,RoentGen-v2,roentgen,RoentGen-v2,P004_roentgen,roentgen/P004.png,roentgen/P004.png,False
P005,5,42-year-old female. PA frontal chest radiograph. Findings: Clear lungs with normal cardiac and mediastinal contours. No pleural effusion or pneumothorax. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,42,female,,0,0,0,0,0,0,0,0,gemini,Nano Banana,gemini,gemini-2.5-flash-image / Nano Banana,P005_gemini,gemini/P005.png,gemini/P005.png,False
P005,5,42-year-old female. PA frontal chest radiograph. Findings: Clear lungs with normal cardiac and mediastinal contours. No pleural effusion or pneumothorax. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,42,female,,0,0,0,0,0,0,0,0,sana,Sana,sana,CheXGenBench Sana CXR generator,P005_sana,sana/P005.png,sana/P005.png,False
P005,5,42-year-old female. PA frontal chest radiograph. Findings: Clear lungs with normal cardiac and mediastinal contours. No pleural effusion or pneumothorax. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,42,female,,0,0,0,0,0,0,0,0,gpt,ChatGPT Images 2.0,gpt,ChatGPT Images 2.0,P005_gpt,gpt/P005.png,gpt/P005.png,False
P005,5,42-year-old female. PA frontal chest radiograph. Findings: Clear lungs with normal cardiac and mediastinal contours. No pleural effusion or pneumothorax. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,42,female,,0,0,0,0,0,0,0,0,roentgen,RoentGen-v2,roentgen,RoentGen-v2,P005_roentgen,roentgen/P005.png,roentgen/P005.png,False
P006,6,46-year-old male. PA frontal chest radiograph. Findings: No focal opacity. No pleural effusion or pneumothorax. Normal cardiomediastinal silhouette. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,46,male,,0,0,0,0,0,0,0,0,gemini,Nano Banana,gemini,gemini-2.5-flash-image / Nano Banana,P006_gemini,gemini/P006.png,gemini/P006.png,False
P006,6,46-year-old male. PA frontal chest radiograph. Findings: No focal opacity. No pleural effusion or pneumothorax. Normal cardiomediastinal silhouette. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,46,male,,0,0,0,0,0,0,0,0,sana,Sana,sana,CheXGenBench Sana CXR generator,P006_sana,sana/P006.png,sana/P006.png,False
P006,6,46-year-old male. PA frontal chest radiograph. Findings: No focal opacity. No pleural effusion or pneumothorax. Normal cardiomediastinal silhouette. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,46,male,,0,0,0,0,0,0,0,0,gpt,ChatGPT Images 2.0,gpt,ChatGPT Images 2.0,P006_gpt,gpt/P006.png,gpt/P006.png,False
P006,6,46-year-old male. PA frontal chest radiograph. Findings: No focal opacity. No pleural effusion or pneumothorax. Normal cardiomediastinal silhouette. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,46,male,,0,0,0,0,0,0,0,0,roentgen,RoentGen-v2,roentgen,RoentGen-v2,P006_roentgen,roentgen/P006.png,roentgen/P006.png,False
P007,7,"51-year-old female. PA frontal chest radiograph. Findings: No acute cardiopulmonary process. No edema, effusion, or pneumothorax. Impression: No acute cardiopulmonary abnormality.",No acute / normal,No acute cardiopulmonary abnormality,51,female,,0,0,0,0,0,0,0,0,gemini,Nano Banana,gemini,gemini-2.5-flash-image / Nano Banana,P007_gemini,gemini/P007.png,gemini/P007.png,False
P007,7,"51-year-old female. PA frontal chest radiograph. Findings: No acute cardiopulmonary process. No edema, effusion, or pneumothorax. Impression: No acute cardiopulmonary abnormality.",No acute / normal,No acute cardiopulmonary abnormality,51,female,,0,0,0,0,0,0,0,0,sana,Sana,sana,CheXGenBench Sana CXR generator,P007_sana,sana/P007.png,sana/P007.png,False
P007,7,"51-year-old female. PA frontal chest radiograph. Findings: No acute cardiopulmonary process. No edema, effusion, or pneumothorax. Impression: No acute cardiopulmonary abnormality.",No acute / normal,No acute cardiopulmonary abnormality,51,female,,0,0,0,0,0,0,0,0,gpt,ChatGPT Images 2.0,gpt,ChatGPT Images 2.0,P007_gpt,gpt/P007.png,gpt/P007.png,False
P007,7,"51-year-old female. PA frontal chest radiograph. Findings: No acute cardiopulmonary process. No edema, effusion, or pneumothorax. Impression: No acute cardiopulmonary abnormality.",No acute / normal,No acute cardiopulmonary abnormality,51,female,,0,0,0,0,0,0,0,0,roentgen,RoentGen-v2,roentgen,RoentGen-v2,P007_roentgen,roentgen/P007.png,roentgen/P007.png,False
P008,8,58-year-old female. PA frontal chest radiograph. Findings: Clear lungs. Normal heart size. No pleural effusion or pneumothorax. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,58,female,,0,0,0,0,0,0,0,0,gemini,Nano Banana,gemini,gemini-2.5-flash-image / Nano Banana,P008_gemini,gemini/P008.png,gemini/P008.png,False
P008,8,58-year-old female. PA frontal chest radiograph. Findings: Clear lungs. Normal heart size. No pleural effusion or pneumothorax. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,58,female,,0,0,0,0,0,0,0,0,sana,Sana,sana,CheXGenBench Sana CXR generator,P008_sana,sana/P008.png,sana/P008.png,False
P008,8,58-year-old female. PA frontal chest radiograph. Findings: Clear lungs. Normal heart size. No pleural effusion or pneumothorax. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,58,female,,0,0,0,0,0,0,0,0,gpt,ChatGPT Images 2.0,gpt,ChatGPT Images 2.0,P008_gpt,gpt/P008.png,gpt/P008.png,False
P008,8,58-year-old female. PA frontal chest radiograph. Findings: Clear lungs. Normal heart size. No pleural effusion or pneumothorax. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,58,female,,0,0,0,0,0,0,0,0,roentgen,RoentGen-v2,roentgen,RoentGen-v2,P008_roentgen,roentgen/P008.png,roentgen/P008.png,False
P009,9,62-year-old male. PA frontal chest radiograph. Findings: No acute cardiopulmonary abnormality. Minimal aortic arch calcification may be present. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,62,male,,0,0,0,0,0,0,0,0,gemini,Nano Banana,gemini,gemini-2.5-flash-image / Nano Banana,P009_gemini,gemini/P009.png,gemini/P009.png,False
P009,9,62-year-old male. PA frontal chest radiograph. Findings: No acute cardiopulmonary abnormality. Minimal aortic arch calcification may be present. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,62,male,,0,0,0,0,0,0,0,0,sana,Sana,sana,CheXGenBench Sana CXR generator,P009_sana,sana/P009.png,sana/P009.png,False
P009,9,62-year-old male. PA frontal chest radiograph. Findings: No acute cardiopulmonary abnormality. Minimal aortic arch calcification may be present. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,62,male,,0,0,0,0,0,0,0,0,gpt,ChatGPT Images 2.0,gpt,ChatGPT Images 2.0,P009_gpt,gpt/P009.png,gpt/P009.png,False
P009,9,62-year-old male. PA frontal chest radiograph. Findings: No acute cardiopulmonary abnormality. Minimal aortic arch calcification may be present. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,62,male,,0,0,0,0,0,0,0,0,roentgen,RoentGen-v2,roentgen,RoentGen-v2,P009_roentgen,roentgen/P009.png,roentgen/P009.png,False
P010,10,66-year-old female. PA frontal chest radiograph. Findings: No focal consolidation or pleural effusion. Normal cardiomediastinal silhouette. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,66,female,,0,0,0,0,0,0,0,0,gemini,Nano Banana,gemini,gemini-2.5-flash-image / Nano Banana,P010_gemini,gemini/P010.png,gemini/P010.png,False
P010,10,66-year-old female. PA frontal chest radiograph. Findings: No focal consolidation or pleural effusion. Normal cardiomediastinal silhouette. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,66,female,,0,0,0,0,0,0,0,0,sana,Sana,sana,CheXGenBench Sana CXR generator,P010_sana,sana/P010.png,sana/P010.png,False
P010,10,66-year-old female. PA frontal chest radiograph. Findings: No focal consolidation or pleural effusion. Normal cardiomediastinal silhouette. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,66,female,,0,0,0,0,0,0,0,0,gpt,ChatGPT Images 2.0,gpt,ChatGPT Images 2.0,P010_gpt,gpt/P010.png,gpt/P010.png,False
P010,10,66-year-old female. PA frontal chest radiograph. Findings: No focal consolidation or pleural effusion. Normal cardiomediastinal silhouette. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,66,female,,0,0,0,0,0,0,0,0,roentgen,RoentGen-v2,roentgen,RoentGen-v2,P010_roentgen,roentgen/P010.png,roentgen/P010.png,False
P011,11,"71-year-old male. PA frontal chest radiograph. Findings: No acute disease. Mild hyperinflation without focal opacity, effusion, or pneumothorax. Impression: No acute cardiopulmonary abnormality.",No acute / normal,No acute cardiopulmonary abnormality,71,male,,0,0,0,0,0,0,0,0,gemini,Nano Banana,gemini,gemini-2.5-flash-image / Nano Banana,P011_gemini,gemini/P011.png,gemini/P011.png,False
P011,11,"71-year-old male. PA frontal chest radiograph. Findings: No acute disease. Mild hyperinflation without focal opacity, effusion, or pneumothorax. Impression: No acute cardiopulmonary abnormality.",No acute / normal,No acute cardiopulmonary abnormality,71,male,,0,0,0,0,0,0,0,0,sana,Sana,sana,CheXGenBench Sana CXR generator,P011_sana,sana/P011.png,sana/P011.png,False
P011,11,"71-year-old male. PA frontal chest radiograph. Findings: No acute disease. Mild hyperinflation without focal opacity, effusion, or pneumothorax. Impression: No acute cardiopulmonary abnormality.",No acute / normal,No acute cardiopulmonary abnormality,71,male,,0,0,0,0,0,0,0,0,gpt,ChatGPT Images 2.0,gpt,ChatGPT Images 2.0,P011_gpt,gpt/P011.png,gpt/P011.png,False
P011,11,"71-year-old male. PA frontal chest radiograph. Findings: No acute disease. Mild hyperinflation without focal opacity, effusion, or pneumothorax. Impression: No acute cardiopulmonary abnormality.",No acute / normal,No acute cardiopulmonary abnormality,71,male,,0,0,0,0,0,0,0,0,roentgen,RoentGen-v2,roentgen,RoentGen-v2,P011_roentgen,roentgen/P011.png,roentgen/P011.png,False
P012,12,74-year-old female. PA frontal chest radiograph. Findings: Clear lungs. No pleural effusion or pneumothorax. Cardiomediastinal silhouette is not enlarged. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,74,female,,0,0,0,0,0,0,0,0,gemini,Nano Banana,gemini,gemini-2.5-flash-image / Nano Banana,P012_gemini,gemini/P012.png,gemini/P012.png,False
P012,12,74-year-old female. PA frontal chest radiograph. Findings: Clear lungs. No pleural effusion or pneumothorax. Cardiomediastinal silhouette is not enlarged. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,74,female,,0,0,0,0,0,0,0,0,sana,Sana,sana,CheXGenBench Sana CXR generator,P012_sana,sana/P012.png,sana/P012.png,False
P012,12,74-year-old female. PA frontal chest radiograph. Findings: Clear lungs. No pleural effusion or pneumothorax. Cardiomediastinal silhouette is not enlarged. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,74,female,,0,0,0,0,0,0,0,0,gpt,ChatGPT Images 2.0,gpt,ChatGPT Images 2.0,P012_gpt,gpt/P012.png,gpt/P012.png,False
P012,12,74-year-old female. PA frontal chest radiograph. Findings: Clear lungs. No pleural effusion or pneumothorax. Cardiomediastinal silhouette is not enlarged. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,74,female,,0,0,0,0,0,0,0,0,roentgen,RoentGen-v2,roentgen,RoentGen-v2,P012_roentgen,roentgen/P012.png,roentgen/P012.png,False
P013,13,81-year-old male. PA frontal chest radiograph. Findings: No acute cardiopulmonary abnormality. Mild senescent chest changes only. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,81,male,,0,0,0,0,0,0,0,0,gemini,Nano Banana,gemini,gemini-2.5-flash-image / Nano Banana,P013_gemini,gemini/P013.png,gemini/P013.png,False
P013,13,81-year-old male. PA frontal chest radiograph. Findings: No acute cardiopulmonary abnormality. Mild senescent chest changes only. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,81,male,,0,0,0,0,0,0,0,0,sana,Sana,sana,CheXGenBench Sana CXR generator,P013_sana,sana/P013.png,sana/P013.png,False
P013,13,81-year-old male. PA frontal chest radiograph. Findings: No acute cardiopulmonary abnormality. Mild senescent chest changes only. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,81,male,,0,0,0,0,0,0,0,0,gpt,ChatGPT Images 2.0,gpt,ChatGPT Images 2.0,P013_gpt,gpt/P013.png,gpt/P013.png,False
P013,13,81-year-old male. PA frontal chest radiograph. Findings: No acute cardiopulmonary abnormality. Mild senescent chest changes only. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,81,male,,0,0,0,0,0,0,0,0,roentgen,RoentGen-v2,roentgen,RoentGen-v2,P013_roentgen,roentgen/P013.png,roentgen/P013.png,False
P014,14,86-year-old female. PA frontal chest radiograph. Findings: No focal air-space opacity. No pleural effusion or pneumothorax. Normal heart size for age. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,86,female,,0,0,0,0,0,0,0,0,gemini,Nano Banana,gemini,gemini-2.5-flash-image / Nano Banana,P014_gemini,gemini/P014.png,gemini/P014.png,False
P014,14,86-year-old female. PA frontal chest radiograph. Findings: No focal air-space opacity. No pleural effusion or pneumothorax. Normal heart size for age. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,86,female,,0,0,0,0,0,0,0,0,sana,Sana,sana,CheXGenBench Sana CXR generator,P014_sana,sana/P014.png,sana/P014.png,False
P014,14,86-year-old female. PA frontal chest radiograph. Findings: No focal air-space opacity. No pleural effusion or pneumothorax. Normal heart size for age. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,86,female,,0,0,0,0,0,0,0,0,gpt,ChatGPT Images 2.0,gpt,ChatGPT Images 2.0,P014_gpt,gpt/P014.png,gpt/P014.png,False
P014,14,86-year-old female. PA frontal chest radiograph. Findings: No focal air-space opacity. No pleural effusion or pneumothorax. Normal heart size for age. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,86,female,,0,0,0,0,0,0,0,0,roentgen,RoentGen-v2,roentgen,RoentGen-v2,P014_roentgen,roentgen/P014.png,roentgen/P014.png,False
P015,15,39-year-old female. PA frontal chest radiograph. Findings: Mild patchy air-space opacity in the right lower lung zone. No pleural effusion or pneumothorax. Cardiomediastinal silhouette is not enlarged. Impression: Mild right lower-lobe pneumonia.,Pneumonia / opacity,Pneumonia / air-space opacity,39,female,,1,0,0,0,0,0,0,0,gemini,Nano Banana,gemini,gemini-2.5-flash-image / Nano Banana,P015_gemini,gemini/P015.png,gemini/P015.png,False
P015,15,39-year-old female. PA frontal chest radiograph. Findings: Mild patchy air-space opacity in the right lower lung zone. No pleural effusion or pneumothorax. Cardiomediastinal silhouette is not enlarged. Impression: Mild right lower-lobe pneumonia.,Pneumonia / opacity,Pneumonia / air-space opacity,39,female,,1,0,0,0,0,0,0,0,sana,Sana,sana,CheXGenBench Sana CXR generator,P015_sana,sana/P015.png,sana/P015.png,False
P015,15,39-year-old female. PA frontal chest radiograph. Findings: Mild patchy air-space opacity in the right lower lung zone. No pleural effusion or pneumothorax. Cardiomediastinal silhouette is not enlarged. Impression: Mild right lower-lobe pneumonia.,Pneumonia / opacity,Pneumonia / air-space opacity,39,female,,1,0,0,0,0,0,0,0,gpt,ChatGPT Images 2.0,gpt,ChatGPT Images 2.0,P015_gpt,gpt/P015.png,gpt/P015.png,False
P015,15,39-year-old female. PA frontal chest radiograph. Findings: Mild patchy air-space opacity in the right lower lung zone. No pleural effusion or pneumothorax. Cardiomediastinal silhouette is not enlarged. Impression: Mild right lower-lobe pneumonia.,Pneumonia / opacity,Pneumonia / air-space opacity,39,female,,1,0,0,0,0,0,0,0,roentgen,RoentGen-v2,roentgen,RoentGen-v2,P015_roentgen,roentgen/P015.png,roentgen/P015.png,False
P016,16,47-year-old male. PA frontal chest radiograph. Findings: Focal left lower-lobe air-space opacity consistent with pneumonia. No pleural effusion or pneumothorax. Impression: Left lower-lobe pneumonia.,Pneumonia / opacity,Pneumonia / air-space opacity,47,male,,1,0,0,0,0,0,0,0,gemini,Nano Banana,gemini,gemini-2.5-flash-image / Nano Banana,P016_gemini,gemini/P016.png,gemini/P016.png,False
P016,16,47-year-old male. PA frontal chest radiograph. Findings: Focal left lower-lobe air-space opacity consistent with pneumonia. No pleural effusion or pneumothorax. Impression: Left lower-lobe pneumonia.,Pneumonia / opacity,Pneumonia / air-space opacity,47,male,,1,0,0,0,0,0,0,0,sana,Sana,sana,CheXGenBench Sana CXR generator,P016_sana,sana/P016.png,sana/P016.png,False
P016,16,47-year-old male. PA frontal chest radiograph. Findings: Focal left lower-lobe air-space opacity consistent with pneumonia. No pleural effusion or pneumothorax. Impression: Left lower-lobe pneumonia.,Pneumonia / opacity,Pneumonia / air-space opacity,47,male,,1,0,0,0,0,0,0,0,gpt,ChatGPT Images 2.0,gpt,ChatGPT Images 2.0,P016_gpt,gpt/P016.png,gpt/P016.png,False
P016,16,47-year-old male. PA frontal chest radiograph. Findings: Focal left lower-lobe air-space opacity consistent with pneumonia. No pleural effusion or pneumothorax. Impression: Left lower-lobe pneumonia.,Pneumonia / opacity,Pneumonia / air-space opacity,47,male,,1,0,0,0,0,0,0,0,roentgen,RoentGen-v2,roentgen,RoentGen-v2,P016_roentgen,roentgen/P016.png,roentgen/P016.png,False
P017,17,53-year-old female. PA frontal chest radiograph. Findings: Right upper-lobe air-space opacity with mild surrounding interstitial prominence. No pneumothorax. Impression: Right upper-lobe pneumonia.,Pneumonia / opacity,Pneumonia / air-space opacity,53,female,,1,0,0,0,0,0,0,0,gemini,Nano Banana,gemini,gemini-2.5-flash-image / Nano Banana,P017_gemini,gemini/P017.png,gemini/P017.png,False
P017,17,53-year-old female. PA frontal chest radiograph. Findings: Right upper-lobe air-space opacity with mild surrounding interstitial prominence. No pneumothorax. Impression: Right upper-lobe pneumonia.,Pneumonia / opacity,Pneumonia / air-space opacity,53,female,,1,0,0,0,0,0,0,0,sana,Sana,sana,CheXGenBench Sana CXR generator,P017_sana,sana/P017.png,sana/P017.png,False
P017,17,53-year-old female. PA frontal chest radiograph. Findings: Right upper-lobe air-space opacity with mild surrounding interstitial prominence. No pneumothorax. Impression: Right upper-lobe pneumonia.,Pneumonia / opacity,Pneumonia / air-space opacity,53,female,,1,0,0,0,0,0,0,0,gpt,ChatGPT Images 2.0,gpt,ChatGPT Images 2.0,P017_gpt,gpt/P017.png,gpt/P017.png,False
P017,17,53-year-old female. PA frontal chest radiograph. Findings: Right upper-lobe air-space opacity with mild surrounding interstitial prominence. No pneumothorax. Impression: Right upper-lobe pneumonia.,Pneumonia / opacity,Pneumonia / air-space opacity,53,female,,1,0,0,0,0,0,0,0,roentgen,RoentGen-v2,roentgen,RoentGen-v2,P017_roentgen,roentgen/P017.png,roentgen/P017.png,False
P018,18,"59-year-old male. PA frontal chest radiograph. Findings: Bilateral patchy lower-lung air-space opacities, greater on the left. No pleural effusion or pneumothorax. Impression: Multifocal pneumonia.",Pneumonia / opacity,Pneumonia / air-space opacity,59,male,,1,0,0,0,0,0,0,0,gemini,Nano Banana,gemini,gemini-2.5-flash-image / Nano Banana,P018_gemini,gemini/P018.png,gemini/P018.png,False
P018,18,"59-year-old male. PA frontal chest radiograph. Findings: Bilateral patchy lower-lung air-space opacities, greater on the left. No pleural effusion or pneumothorax. Impression: Multifocal pneumonia.",Pneumonia / opacity,Pneumonia / air-space opacity,59,male,,1,0,0,0,0,0,0,0,sana,Sana,sana,CheXGenBench Sana CXR generator,P018_sana,sana/P018.png,sana/P018.png,False
P018,18,"59-year-old male. PA frontal chest radiograph. Findings: Bilateral patchy lower-lung air-space opacities, greater on the left. No pleural effusion or pneumothorax. Impression: Multifocal pneumonia.",Pneumonia / opacity,Pneumonia / air-space opacity,59,male,,1,0,0,0,0,0,0,0,gpt,ChatGPT Images 2.0,gpt,ChatGPT Images 2.0,P018_gpt,gpt/P018.png,gpt/P018.png,False
P018,18,"59-year-old male. PA frontal chest radiograph. Findings: Bilateral patchy lower-lung air-space opacities, greater on the left. No pleural effusion or pneumothorax. Impression: Multifocal pneumonia.",Pneumonia / opacity,Pneumonia / air-space opacity,59,male,,1,0,0,0,0,0,0,0,roentgen,RoentGen-v2,roentgen,RoentGen-v2,P018_roentgen,roentgen/P018.png,roentgen/P018.png,False
